uf,geocode,regional,regional_geocode,macroregional,macroregional_geocode
SC,4210506,Extremo Oeste,42001,Grande Oeste,4213
SC,4202008,Foz do Rio Itajaí,42005,Foz do Rio Itajaí,4215
SC,4207106,Foz do Rio Itajaí,42005,Foz do Rio Itajaí,4215
SC,4205803,Nordeste,42011,Planalto Norte e Nordeste,4211
SC,4202107,Nordeste,42011,Planalto Norte e Nordeste,4211
MG,3141801,Turmalina/Minas Novas/Capelinha,31027,Jequitinhonha,3104
MG,3142106,Muriaé,31045,Sudeste,3107
SC,4202701,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
SC,4211652,Xanxerê,42003,Grande Oeste,4213
SC,4202503,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4211900,Grande Florianópolis,42007,Grande Florianópolis,4214
SC,4212106,Oeste,42002,Grande Oeste,4213
SC,4215752,Xanxerê,42003,Grande Oeste,4213
SC,4215901,Grande Florianópolis,42007,Grande Florianópolis,4214
MG,3143104,Patrocínio / Monte Carmelo,31074,Triângulo do Norte,3113
SC,4216008,Oeste,42002,Grande Oeste,4213
SC,4216602,Grande Florianópolis,42007,Grande Florianópolis,4214
MG,3143302,Montes Claros,31084,Norte,3108
MG,3143401,Pouso Alegre,31007,Sul,3101
SC,4202800,Laguna,42016,Sul,4210
SC,4201257,Médio Vale do Itajaí,42006,Alto Vale do Itajaí,4216
SC,4203956,Laguna,42016,Sul,4210
SC,4204558,Serra Catarinense,42013,Meio Oeste e Serra Catarinense,4212
SC,4206207,Laguna,42016,Sul,4210
